author;n;primary_subject
P. Debbins;1;Nuclear Experiment
E. Norbeck;1;Nuclear Experiment
Y. Onel;2;No primary subject
D. d'Enterria;3;Instrumentation and Detectors
Angela Bonaccorso;1;Nuclear Theory
Nikolaj Thomas Zinner;1;Nuclear Theory
Leor S. Weinberger;2;Molecular Networks
John C. Burnett;1;Molecular Networks
Jared E. Toettcher;1;Molecular Networks
Adam P. Arkin;1;Molecular Networks
David V. Schaffer;1;Molecular Networks
Mendeli H. Vainstein;2;Populations and Evolution
Ana Tereza Costa Silva;1;Populations and Evolution
Jeferson J. Arenzon;2;Populations and Evolution
Sun Kyung Lee;1;Quantum Physics
T. G. Philbin;1;Quantum Physics
Freeman J. Dyson;1;Quantum Physics
Tanguy Pallaver;1;Biological Physics
Helmut Kroger;1;Biological Physics
Marc Parizeau;1;Biological Physics
Edward Price;1;Physics Education
Noah Finkelstein;1;Physics Education
Jonathan J Hunt;1;Biological Physics
Randall G Cameron;1;Biological Physics
Martin A.K. Williams;1;Biological Physics
F J Tapiador;1;Atmospheric and Oceanic Physics
R Verdejo;1;Atmospheric and Oceanic Physics
Marzena Kozlowska;1;Physics and Society
Ryszard Kutner;1;Physics and Society
Thierry Faure;2;Classical Physics
Luc Pastur;2;Classical Physics
Romain Pethieu;1;Classical Physics
Philippe Debesse;1;Classical Physics
M. Lebental;3;Optics
J.-S. Lauret;2;Optics
J. Zyss;2;Optics
C. Schmit;4;No primary subject
E. Bogomolny;4;No primary subject
S.V.Buldyrev;1;Data Analysis, Statistics and Probability
H.E.Stanley;1;Data Analysis, Statistics and Probability
N. Leefer;5;Atomic Physics
A. L. Gonzalez;1;Chemical Physics
C. Noguez;1;Chemical Physics
Kwang-Hua W. Chu;7;General Physics
Oleg A. Godin;1;Atmospheric and Oceanic Physics
F. Pammolli;1;Physics and Society
M. Riccaboni;1;Physics and Society
K. Yamasaki;1;Physics and Society
D. Fu;1;Physics and Society
K. Matia;1;Physics and Society
V.M. Red'kov;4;Classical Physics
Erica Kim;1;Fluid Dynamics
A. G. Zabrodskii;1;Chemical Physics
M. E. Kompan;1;Chemical Physics
V. G. Malyshkin;1;Chemical Physics
I. Yu. Sapurina;1;Chemical Physics
E.D. van Ooijen;2;Atomic Physics
Adi Taflia;1;Biological Physics
David Holcman;1;Biological Physics
S. Micciche`;1;Physics and Society
D. Van Neck;3;Chemical Physics
S. Verdonck;1;Chemical Physics
G. Bonny;1;Chemical Physics
P.W. Ayers;1;Chemical Physics
M. Waroquier;1;Chemical Physics
A. De Martino;4;Physics and Society
A. Tedeschi;1;Physics and Society
Wolfgang Menges;1;Instrumentation and Detectors
M. Salis;4;General Physics
J. M. Higbie;5;Atomic Physics
E. Corsini;2;Atomic Physics
Irene Ippolito;5;Fluid Dynamics
Ricardo Chertcoff;5;Fluid Dynamics
M. Alabau Pons;1;Accelerator Physics
A. Faus-Golfe;1;Accelerator Physics
Peter Toke Heden Ahlgren;1;Data Analysis, Statistics and Probability
S.Rajasekar;1;History and Philosophy of Physics
N.Athavan;1;History and Philosophy of Physics
Vitaliy Oliynyk;1;Biological Physics
Udo Kaatze;1;Biological Physics
Thomas Heimburg;7;Biological Physics
Sergey Ananiev;1;Fluid Dynamics
Igor L. Iosilevski;4;Plasma Physics
Alexander Yu. Chigvintsev;4;Plasma Physics
Ashoke Sen;1;Popular Physics
Ben McMorran;2;Optics
Kim Young-Cheol;1;Optics
S.Jadach;1;Computational Physics
P.Sawicki;1;Computational Physics
Lisa M. Hermsen;1;Physics Education
S. N. Elogne;1;Data Analysis, Statistics and Probability
D. Bernhardt;5;Atomic Physics
D. A. Orlov;5;Atomic Physics
Olivier Houde;1;Atomic Physics
Jean-François Clément;3;Atomic Physics
A.D. Kondorskiy;1;Atomic Physics
L.P. Presnyakov;1;Atomic Physics
Yu. Ralchenko;3;Atomic Physics
Francisco Aparecido Rodrigues;5;Physics and Society
Xavier Castelló;2;Physics and Society
T. Pfeifer;1;Optics
M. C. Downer;1;Optics
P. Schust;1;Atomic Physics
Ivailo S. Atanasov;1;Data Analysis, Statistics and Probability
Oleg I. Yordanov;1;Data Analysis, Statistics and Probability
Samuel L. Marateck;2;No primary subject
A. Merrina;1;Physics and Society
A. Sparavigna;1;Physics and Society
R.A. Wolf;1;Physics and Society
A.Novikov-Borodin;1;General Physics
Esteban Guevara Hidalgo;4;No primary subject
D.A. Burton;4;Plasma Physics
J. Gratus;1;Plasma Physics
R.W. Tucker;2;No primary subject
Jinying Zhang;2;No primary subject
Mark R. Sambrook;1;Chemical Physics
Kyriakos Porfyrakis;2;No primary subject
G. Andrew D. Briggs;2;No primary subject
Oded Hod;1;Chemical Physics
Juan E. Peralta;1;Chemical Physics
Gustavo E. Scuseria;2;Chemical Physics
J. Amundson;1;Accelerator Physics
L. Spentzouris;1;Accelerator Physics
P. Spentzouris;1;Accelerator Physics
S. Mori;1;Physics and Society
K. Kitsukawa;1;Physics and Society
M. Hisakado;1;Physics and Society
Bin Jiang;9;Data Analysis, Statistics and Probability
Tobias Kretz;12;Multiagent Systems
Michael Schreckenberg;6;Multiagent Systems
Nicolas Vuillerme;15;Medical Physics
Olivier Chenu;14;Medical Physics
Juan G. Diaz Ochoa;5;No primary subject
A. W. Beckwith;3;General Physics
S. Vaitheeswaran;1;Chemical Physics
J. L. Herraiz;1;Medical Physics
S. Espana;1;Medical Physics
J. J. Vaquero;1;Medical Physics
M. Desco;1;Medical Physics
J. M. Udias;1;Medical Physics
Charles M. Beck;3;Popular Physics
G. Drake;3;No primary subject
C. Escobar;3;Instrumentation and Detectors
P. Gouffon;1;Accelerator Physics
G. Koizumi;1;Accelerator Physics
P. Lucas;1;Accelerator Physics
R. Talaga;2;No primary subject
M. Al-Mukhtar;2;Geophysics
Kévin Beck;2;Geophysics
M. Guessmann;1;Biological Physics
A. Pelster;1;Biological Physics
Olivier Rozenbaum;2;Geophysics
Alain Plançon;1;Geophysics
C. C. Barros Jr;1;General Physics
G. Báez;1;Physics and Society
H. Hernández-Saldaña;2;Physics and Society
R.A. Méndez-Sánchez;1;Physics and Society
Shinji Tanimoto;3;Physics and Society
Chhaya Ravi Kant;1;Data Analysis, Statistics and Probability
Nupur Prakash;1;Data Analysis, Statistics and Probability
I.A.Soloshenko;1;Plasma Physics
V.N.Gorshkov;1;Plasma Physics
A.M.Zavalov;1;Plasma Physics
Ivano Lodato;1;Biological Physics
Alessandro Di Mare;1;Physics and Society
Dan Christensen;1;Computational Physics
Kartik Anand;3;No primary subject
Reimer Kühn;1;Physics and Society
Stefan Hippler;1;Optics
Felix Hormuth;1;Optics
David J. Butler;1;Optics
Wolfgang Brandner;1;Optics
Thomas Henning;1;Optics
John T.A. Ely;1;Physics and Society
Tobias Ambjoernsson;1;Biological Physics
Andreas Hanke;1;Biological Physics
Yongli Zhang;1;Biological Physics
Stephen Levene;1;Biological Physics
Tomohiro Miyasaka;1;Optics
Jakub Gronowski;1;Atomic Physics
Rodolphe Boudot;1;Instrumentation and Detectors
I. P. Hamilton;1;Chemical Physics
Ricardo A. Mosna;1;Chemical Physics
L. Delle Site;1;Chemical Physics
Rui Yang;5;No primary subject
Zhi-Wen Shi;1;Physics and Society
H. Backe;4;Accelerator Physics
W. Lauth;3;Accelerator Physics
A.F. Scharafutdinov;1;Accelerator Physics
P. Kunz;2;No primary subject
A.S. Gogolev;1;Accelerator Physics
C. Efthimiou;1;Physics Education
D. Maronde;1;Physics Education
T. Winningham;1;Physics Education
Esteban Moreno;2;No primary subject
F. J. Garcia-Vidal;4;No primary subject
Sergio G. Rodrigo;3;Other Condensed Matter
L. Martin-Moreno;6;Other Condensed Matter
Anatoly N. Panchenkov;1;Fluid Dynamics
F. D. Stefani;1;Optics
K. Vasilev;1;Optics
N. Bocchio;1;Optics
F. Gaul;1;Optics
A. Pomozzi;1;Optics
Charles Rohde;1;Optics
Shigen Ouyang;4;Optics
Gianni Di Domenico;1;Atomic Physics
Stephan Groeger;1;Atomic Physics
Paul Knowles;1;Atomic Physics
Martin Rebetez;1;Atomic Physics
Herve Saudan;1;Atomic Physics
Jadranko Gladic;1;Optics
Zlatko Vucic;1;Optics
Davorin Lovric;1;Optics
R. S. Saksena;1;Computational Physics
S. J. Zasada;1;Computational Physics
M. McKeown;1;Computational Physics
S. Pickles;1;Computational Physics
Klaus Ehrenberger;1;General Physics
Katarzyna Ostasiewicz;1;Physics and Society
Michal H. Tyc;1;Physics and Society
Piotr Goliczewski;1;Physics and Society
Piotr Magnuszewski;1;Physics and Society
Andrzej Radosz;1;Physics and Society
Jan Sendzimir;1;Physics and Society
Nadia Farid;1;Biological Physics
A. N. Vamivakas;1;Optics
M. Dogan;1;Optics
S. B. Ippolito;1;Optics
E. R. Behringer;1;Optics
A. K. Swan;1;Optics
B. B. Goldberg;1;Optics
M. S. Unlu;1;Optics
Ranojoy Bose;2;Optics
Rohit Chatterjee;1;Optics
Daekyoung Kang;1;Computational Physics
E. Won;3;Instrumentation and Detectors
Jasper van Wezel;1;Classical Physics
Jeroen van den Brink;1;Classical Physics
Maciej Woloszyn;1;Physics and Society
E. Ribeiro;1;Geophysics
L. Arturo Ureña--López;1;Physics Education
Racz Balazs;1;Data Analysis, Statistics and Probability
Lukacs Andras;1;Data Analysis, Statistics and Probability
Davar Otarod;1;Fluid Dynamics
M.Yu. Trofimov;1;Atmospheric and Oceanic Physics
A.D. Zakharenko;2;Atmospheric and Oceanic Physics
J.K. Nilsen;1;Computational Physics
Amrutha Gopal;2;Optics
Michael Tatarakis;2;Optics
W. W. M. Allison;1;Accelerator Physics
S. J. Holmes;1;Accelerator Physics
R. C. Fernow;1;Accelerator Physics
V. M. Acosta;4;Atomic Physics
S. Xu;2;No primary subject
M. H. Donaldson;1;Instrumentation and Detectors
Albert C. Fannjiang;8;Optics
M. Kubantsev;1;Instrumentation and Detectors
I. Larin;1;Instrumentation and Detectors
A. Gasparyan;1;Instrumentation and Detectors
Ruyong Wang;3;Optics
Aiping Yao;3;Optics
G. Behinaein;2;Atomic Physics
V. Ramareddy;3;Atomic Physics
P. Ahmadi;3;Atomic Physics
P. Evesque;1;Fluid Dynamics
F. Arneodo et al.;1;Instrumentation and Detectors
Eleftherios N. Economon;1;Optics
Viatcheslav V. Berejnov;3;Chemical Physics
H. Kleinert;1;Physics and Society
X.J. Chen;1;Physics and Society
Borko D. Stosic;1;Computational Physics
Kshitija Deshpande;1;Optics
Arvind Paranjapye;1;Optics
Juan Carlos Gonzalez-Avella;2;Physics and Society
Agung Budiyono;1;General Physics
Kenneth A. Werley;1;Physics and Society
Adilson E. Motter;11;Physics and Society
Seo Ho Youn;3;Classical Physics
Heather Crowell;1;Atomic Physics
Cedomil Vadla;1;Atomic Physics
Kay Niemax;1;Atomic Physics
Dean Langley;1;Optics
Qin Wu;1;Optics
Chiara Dalla Pellegrina;3;Biological Physics
H. M. Yang;2;No primary subject
Y. S. Ting;2;No primary subject
A.Worley;1;General Physics
J. Marciak-Kozlowska;6;General Physics
M. Kozlowski;5;General Physics
Douglas Werner;1;Optics
Do-Hoon Kwon;1;Optics
Salissou Moutari;1;Physics and Society
Michel Rascle;1;Physics and Society
Hakim Choukri;2;Optics
Xiaojie Chen;5;Physics and Society
Zhenhua Wu;1;Physics and Society
Lidia A. Braunstein;2;No primary subject
A. K. Kazansky;1;Atomic Physics
N. M. Kabachnik;1;Atomic Physics
Sandip Ghosal;2;Chemical Physics
Ildar Gabitov;1;Optics
Pavel Lushnikov;1;Optics
Linn Mollenauer;1;Optics
Maxim Shkarayev;1;Optics
Alejandro Luque;5;Plasma Physics
M .Alabau-Pons;1;Accelerator Physics
J. Brossard;1;Accelerator Physics
C. Rimbault;1;Accelerator Physics
C. Rippon;1;Accelerator Physics
H.S. Nataraj;1;Atomic Physics
B.K. Sahoo;2;Atomic Physics
R.K. Chaudhuri;2;Atomic Physics
Chih-Yuan Tseng;3;Data Analysis, Statistics and Probability
Chien-Chih CHen;1;Data Analysis, Statistics and Probability
D. F. T. Mullamphy;1;Atomic Physics
G. Peach;1;Atomic Physics
S. J. Gibson;1;Atomic Physics
Jia-Jyun Dong;1;Data Analysis, Statistics and Probability
Frederic Druon;4;Optics
Francois Balembois;6;Optics
Nicolas Landru;1;Optics
Jean Philippe Feve;1;Optics
Jiali Lin;1;Optics
Zhiming Weng;1;Optics
Stephane Mercier;1;Atmospheric and Oceanic Physics
Clement Faugeras;1;Optics
Jean Yves Bengloan;1;Optics
Michel Calligaro;1;Optics
Olivier Parillaud;1;Optics
Marcella Giovannini;1;Optics
Jerome Faist;1;Optics
Carlo Sirtori;1;Optics
Lennon O Naraigh;4;Fluid Dynamics
D. Toublanc;1;Astrophysics
Frank P. Pijpers;1;Astrophysics
Karen Hallberg;1;Strongly Correlated Electrons
Michael A. Zaks;1;Statistical Mechanics
Giulio Biroli;2;No primary subject
Andreas Barth;2;No primary subject
Pascal Brault;2;No primary subject
Guy Moebs;1;Materials Science
A. Yu. Nikitin;1;Other Condensed Matter
F. Lopez-Tejeira;3;Other Condensed Matter
Marcus Mueller;1;Soft Condensed Matter
Ernesto P. Borges;1;Statistical Mechanics
Hannu Hakkinen;1;Other Condensed Matter
Einari Niskanen;1;Other Condensed Matter
Marcus Rinkio;1;Other Condensed Matter
Jérémie Teisseire;1;Soft Condensed Matter
F. Nallet;1;Soft Condensed Matter
P. Fabre;1;Soft Condensed Matter
Cyprien Gay;5;Soft Condensed Matter
Kumiko Hayashi;2;No primary subject
Mitsunori Takano;3;No primary subject
G.Oshanin;1;Statistical Mechanics
H.S.Wio;1;Statistical Mechanics
K.Lindenberg;1;Statistical Mechanics
S.F.Burlatsky;1;Statistical Mechanics
Anna Grünebohm;2;No primary subject
Maike Kaufman;2;No primary subject
Florian Mazur;1;Statistical Mechanics
Zoran Hadzibabic;1;Other Condensed Matter
Peter Krüger;1;Other Condensed Matter
Marc Cheneau;1;Other Condensed Matter
Baptiste Battelier;1;Other Condensed Matter
Jean B. Dalibard;1;Other Condensed Matter
Bruno Goncalves;6;Human-Computer Interaction
Philippe Grandclement;2;General Relativity and Quantum Cosmology
Clayton R. Locke;1;General Relativity and Quantum Cosmology
Eugene N. Ivanov;2;No primary subject
S.T. Dye;3;No primary subject
J.G. Learned;1;High Energy Physics - Experiment
J. Maricic;1;High Energy Physics - Experiment
S. Matsuno;3;High Energy Physics - Experiment
S. Pakvasa;1;High Energy Physics - Experiment
G. Varner;3;No primary subject
K. Tsumura;1;High Energy Physics - Phenomenology
T. Kunihiro;1;High Energy Physics - Phenomenology
K. Ohnishi;1;High Energy Physics - Phenomenology
Michael Kuchiev;1;High Energy Physics - Phenomenology
Cosmas K Zachos;1;High Energy Physics - Theory
J.-M. Maillard;4;Mathematical Physics
B. M. McCoy;1;Mathematical Physics
W. P. Orrick;1;Mathematical Physics
Arturo Olvera;1;Chaotic Dynamics
Haluk Bingol;6;No primary subject
Amac Herdagdelen;3;No primary subject
Eser Aygun;1;Adaptation and Self-Organizing Systems
V. Yakhot;4;No primary subject
C. Colosqui;1;Chaotic Dynamics
Prasad Perlekar;4;Chaotic Dynamics
Dhrubaditya Mitra;3;Chaotic Dynamics
Marcelo F. Camperi;1;Neurons and Cognition
M. Gonzalez-Gaitan;1;Other Quantitative Biology
Vincenzo Carnevale;1;Biomolecules
Simone Raugei;1;Biomolecules
Paolo Carloni;2;No primary subject
Changbong Hyeon;9;Biomolecules
Ruxandra I. Dima;1;Biomolecules
K.B. Blagoev;1;Cell Behavior
S.A. Trugman;1;Cell Behavior
Krzysztof Malarz;4;Physics and Society
Tibor Vellai;1;Populations and Evolution
Evgeny A. Shapiro;1;Quantum Physics
Yiyang Gong;4;Optics
Fernando M. Cucchietti;1;Quantum Physics
Luis Enrique Correa da Rocha;5;Physics and Society
F. Karstens;1;Instrumentation and Detectors
Cheng-Liang Zhao;2;Optics
Li-Qin Wang;3;Optics
Xuan-Hui Lu;1;Optics
F.-P. Schilling;1;Instrumentation and Detectors
Steve R. Andrews;1;Optics
L. Martín-Moreno;1;Optics
F. J. García-Vidal;1;Optics
Stephan Gekle;8;Fluid Dynamics
Jörg Main;7;No primary subject
Thomas Bartsch;1;Atomic Physics
Xiaobiao Huang;1;Atomic and Molecular Clusters
R.F. Abdullatif;1;Plasma Physics
Giorgio A. Ascoli;1;Classical Physics
Gerald A. Goldin;2;No primary subject
Manikandan Mathur;2;Fluid Dynamics
Ratul DasGupta;1;Fluid Dynamics
N.R. Selvi;1;Fluid Dynamics
Neena Susan John;1;Fluid Dynamics
G.U. Kulkarni;1;Fluid Dynamics
Will Williams;1;Atomic Physics
Roberto Renó;1;Physics and Society
Leonid Makarov;1;Computational Physics
Peter Komarov;1;Computational Physics
Simon L Cornish;1;Atomic Physics
David W Hallwood;1;Atomic Physics
Chris V S Pleasant;1;Atomic Physics
Dale R. Ingram;1;Physics Education
David J. Strozzi;2;Plasma Physics
Ed A. Williams;1;Plasma Physics
A. Bruce Langdon;1;Plasma Physics
Abraham Bers;1;Plasma Physics
Oleg G. Semyonov;3;No primary subject
Yulian V. Vanne;5;Atomic Physics
Alejandro Saenz;13;Atomic Physics
G. S. Balaraman;1;Computational Physics
J. Haissinski;1;General Physics
S. Dagoret;1;General Physics
M. Urban;3;No primary subject
H. Giovannini;2;No primary subject
Henry N. Chapman;1;Optics
Anton Barty;1;Optics
Michael J. Bogan;1;Optics
Sebastien Boutet;1;Optics
Matthias Frank;1;Optics
Stefan P. Hau-Riege;1;Optics
Stefano Marchesini;1;Optics
Bruce W. Woods;1;Optics
Sasa Bajt;1;Optics
W. Henry Benner;1;Optics
Richard A. London;1;Optics
Elke Plonjes;1;Optics
Marion Kuhlmann;1;Optics
Rolf Treusch;1;Optics
Stefan Dusterer;1;Optics
Thomas Tschentscher;1;Optics
Jochen R. Schneider;1;Optics
Eberhard Spiller;1;Optics
Thomas Moller;1;Optics
Christoph Bostedt;1;Optics
Matthias Hoener;1;Optics
David A. Shapiro;1;Optics
Keith O. Hodgson;1;Optics
Florian Burmeister;1;Optics
Magnus Bergh;1;Optics
Gosta Huldt;1;Optics
M. Marvin Seibert;1;Optics
Filipe R.N.C. Maia;1;Optics
Richard W. Lee;1;Optics
Abraham Szoke;1;Optics
Tatiana Latychevskaia;3;No primary subject
Hans-Werner Fink;3;No primary subject
F.W. Payne;1;Atomic and Molecular Clusters
J.W. Emmert;1;Atomic and Molecular Clusters
Jun Deng;1;Atomic and Molecular Clusters
L.A. Bloomfield;1;Atomic and Molecular Clusters
Robert K. Murawski;1;Atomic Physics
Shaolin Liao;1;Computational Physics
J. H. Sanderson;1;Chemical Physics
E. V. Rosenfeld;1;Atomic and Molecular Clusters
Davor Krajnovic;1;Physics Education
Dimitris N. Papadopoulos;1;Optics
M. Delaigue;1;Optics
P. Denissenko;1;Fluid Dynamics
S. Lukaschuk;1;Fluid Dynamics
T. Breithaupt;1;Fluid Dynamics
F. Nerling;2;Instrumentation and Detectors
Liliana de Ysasa Pozzo;1;Optics
Andre Alexandre de Thomaz;1;Optics
Enver Chillce;1;Optics
Pierre-Jean Devilder;1;Optics
A. Abba';1;Geophysics
M. Montini;1;Geophysics
L.Pignagnoli;1;Geophysics
P. Olla;1;Geophysics
R.Marques;2;Optics
L.Jelinek;2;Optics
F.Mesa;2;Optics
J.A. Reyes;2;Optics
M. Tong;1;Optics
C. -X. Sheng;1;Optics
Z. V. Vardeny;1;Optics
Jérémi Torres;1;Optics
P. Nouvel;1;Optics
A. Akwoue-Ondo;1;Optics
F. Teppe;1;Optics
A. Shchepetov;1;Optics
S. Bollaert;1;Optics
Richard J. Doyle;2;No primary subject
David M. Hirst;1;Chemical Physics
Paolo Lombardi;1;Instrumentation and Detectors
N. P. Abreu;1;Accelerator Physics
P. F. Tavares;1;Accelerator Physics
R. H. A. Farias;1;Accelerator Physics
Clive G. Wells;2;No primary subject
Stephen T. C. Siklos;1;Classical Physics
A. A. Castrejon-Pita;1;Fluid Dynamics
H. Weitzner;1;Plasma Physics
F. van Beijnum;1;Physics Education
E. G. van Putten;1;Physics Education
K. L. van der Molen;1;Physics Education
A. P. Mosk;2;No primary subject
R.Ganter;1;Accelerator Physics
C. Zinoni;1;Instrumentation and Detectors
B. Alloing;1;Instrumentation and Detectors
L.H. Li;1;Instrumentation and Detectors
F. Marsili;3;Instrumentation and Detectors
L. Lunghi;1;Instrumentation and Detectors
A. Gerardino;1;Instrumentation and Detectors
Yu. B. Vakhtomin;1;Instrumentation and Detectors
K. V. Smirnov;1;Instrumentation and Detectors
G.N. Gol'tsman;1;Instrumentation and Detectors
A. Fiore;3;Instrumentation and Detectors
Joop M. Houtkooper;1;Biological Physics
Jacek Mulak;2;Chemical Physics
Maciej Mulak;2;Chemical Physics
Abhishek Parakh;1;History and Philosophy of Physics
Tanya Zelevinsky;4;Atomic Physics
Shin-ichi Inage;1;General Physics
T. Zanon-Willette;1;Atomic Physics
A.D. Ludlow;1;Atomic Physics
S. Blatt;6;Atomic Physics
M.M. Boyd;1;Atomic Physics
* Jun Ye;1;Atomic Physics
Randolf Pohl;1;Atomic Physics
Herbert Daniel;1;Atomic Physics
F. Joachim Hartmann;1;Atomic Physics
Peter Hauser;1;Atomic Physics
Franz Kottmann;1;Atomic Physics
Valery E. Markushin;1;Atomic Physics
Markus Mühlbauer;1;Atomic Physics
Claude Petitjean;1;Atomic Physics
Wolfgang Schott;1;Atomic Physics
David Taqqu;1;Atomic Physics
Peter Wojciechowski-Grosshauser;1;Atomic Physics
Dong Li;1;Fluid Dynamics
Yakov Sinai;1;Fluid Dynamics
J. Hyvonen;1;Physics and Society
G. Szabo;4;No primary subject
D. Lazer;1;Physics and Society
Andrei Faraon;4;Optics
Jed Brown;2;Geophysics
Victor Javier Charette;1;Fluid Dynamics
Elisa Evangelista;1;Fluid Dynamics
G. De Masi;3;Statistical Finance
G. Iori;1;Physics and Society
J. Hansen;5;Atmospheric and Oceanic Physics
M. Sato;4;Atmospheric and Oceanic Physics
R. Ruedy;2;Atmospheric and Oceanic Physics
P. Kharecha;4;Atmospheric and Oceanic Physics
A. Lacis;2;Atmospheric and Oceanic Physics
L. Nazarenko;2;Atmospheric and Oceanic Physics
K. Lo;2;Atmospheric and Oceanic Physics
G.A. Schmidt;2;Atmospheric and Oceanic Physics
G. Russell;2;Atmospheric and Oceanic Physics
I. Aleinov;2;Atmospheric and Oceanic Physics
S. Bauer;2;Atmospheric and Oceanic Physics
E. Baum;2;Atmospheric and Oceanic Physics
B. Cairns;2;Atmospheric and Oceanic Physics
V. Canuto;2;Atmospheric and Oceanic Physics
M. Chandler;2;Atmospheric and Oceanic Physics
Y. Cheng;2;Atmospheric and Oceanic Physics
A. Cohen;2;Atmospheric and Oceanic Physics
A. Del Genio;2;Atmospheric and Oceanic Physics
G. Faluvegi;2;Atmospheric and Oceanic Physics
E. Fleming;2;Atmospheric and Oceanic Physics
A. Friend;2;Atmospheric and Oceanic Physics
T. Hall;2;Atmospheric and Oceanic Physics
J. Jonas;2;Atmospheric and Oceanic Physics
M. Kelley;2;Atmospheric and Oceanic Physics
N.Y. Kiang;2;Atmospheric and Oceanic Physics
D. Koch;2;Atmospheric and Oceanic Physics
G. Labow;2;Atmospheric and Oceanic Physics
J. Lerner;2;Atmospheric and Oceanic Physics
S. Menon;2;Atmospheric and Oceanic Physics
T. Novakov;2;Atmospheric and Oceanic Physics
V. Oinas;2;Atmospheric and Oceanic Physics
Ja. Perlwitz;2;Atmospheric and Oceanic Physics
Ju. Perlwitz;2;Atmospheric and Oceanic Physics
D. Rind;2;Atmospheric and Oceanic Physics
A. Romanou;2;Atmospheric and Oceanic Physics
R. Schmunk;2;Atmospheric and Oceanic Physics
D. Shindell;2;Atmospheric and Oceanic Physics
P. Stone;2;Atmospheric and Oceanic Physics
S. Sun;2;Atmospheric and Oceanic Physics
D. Streets;2;Atmospheric and Oceanic Physics
N. Tausnev;2;Atmospheric and Oceanic Physics
D. Thresher;2;Atmospheric and Oceanic Physics
N. Unger;2;Atmospheric and Oceanic Physics
M. Yao;2;Atmospheric and Oceanic Physics
F.Adamyan;1;Instrumentation and Detectors
H.Hakobyan;1;Instrumentation and Detectors
J.Manukyan;1;Instrumentation and Detectors
R.Oganezov;1;Instrumentation and Detectors
L.Sargsyan;1;Instrumentation and Detectors
A.Sirunyan;1;Instrumentation and Detectors
H.Vartapetian;1;Instrumentation and Detectors
R.Jones;1;Instrumentation and Detectors
Konstantin A Kouzakov;1;Atomic Physics
Pavel S Vinitsky;1;Atomic Physics
Yuri V Popov;1;Atomic Physics
Claude Dal Cappello;1;Atomic Physics
F.G. Pedro;1;Space Physics
Alexandra Boltasseva;2;Optics
Sabine M. Volkmer;1;History and Philosophy of Physics
O.N. Prudnikov;1;Atomic Physics
A.M. Tumaikin;1;Atomic Physics
Naima Khelfaoui;2;Optics
Delphine Wolfersberger;2;Optics
Godefroy Kugel;2;Optics
Nicolas Fressengeas;4;Optics
Mathieu Chauvet;2;Optics
László Gulyás;1;Physics and Society
Elenna R. Dugundji;1;Physics and Society
S. Bagchi;1;Plasma Physics
M.K. Bhuyan;1;Plasma Physics
S. Bose;2;No primary subject
V. Giangiobbe;1;Instrumentation and Detectors
A.Esakov;1;Optics
V.Gorelik;1;Optics
A.Kudryavtseva;1;Optics
N.Tcherniega;1;Optics
Carlos A. Arango;2;No primary subject
Anthony Scemama;1;Computational Physics
D. Krauss-Varban;1;Space Physics
Branislav Brutovsky;1;Medical Physics
Vladimir Lisy;1;Medical Physics
Reza Dastvan;2;General Physics
V.A. Kolombet;2;General Physics
M.S. Panchelyuga;2;General Physics
D. Leppinen;1;Fluid Dynamics
J.H. Snoeijer;5;Fluid Dynamics
K.O. Rasmussen;1;Optics
A.T. Findikoglu;1;Optics
I. Z. Kostadinov;1;Optics
Malik Hocine;1;Optics
Christiane Carré;1;Optics
Daniel Joseph Lougnot;1;Optics
Renaud Bachelot;1;Optics
Pascal Royer;2;Optics
Masanobu Iwanaga;3;Optics
Takafumi Hatano;2;Optics
Teruya Ishihara;2;Optics
A. S. Vengurlekar;1;Optics
Brandon H. McNaughton;1;Biological Physics
Rodney R. Agayan;2;No primary subject
Raoul Kopelman;2;No primary subject
M. Block;1;Biological Physics
E. Schoell;1;Biological Physics
D. Drasdo;1;Biological Physics
O. Kidun;2;Atomic Physics
M. Kitamura;1;Physics and Society
D. Wentzel;1;Physics and Society
A.A. Henden;1;Physics and Society
J. Bennett;1;Physics and Society
H.M.K. Al-Naimiy;1;Physics and Society
N. Gopalswamy;1;Physics and Society
J. Davila;1;Physics and Society
B. Thompson;1;Physics and Society
D.F. Webb;1;Physics and Society
J. Berg;3;Fluid Dynamics
B. Luthi;1;Fluid Dynamics
S. Ott;2;No primary subject
J. Mann;2;No primary subject
Anders Johansson;11;Physics and Society
V.A. Volotka;1;Atomic Physics
Dieter W. Ebner;1;General Physics
S.S. Zilitinkevich;4;Atmospheric and Oceanic Physics
T. Yamano;3;No primary subject
Sylvain Bourlange;1;Geophysics
Laurence Jouniaux;2;Geophysics
Pierre Henry;1;Geophysics
Richard Buessow;3;Data Analysis, Statistics and Probability
Xian-Zhou Zhang;1;Atomic Physics
Jian-Guo Rao;1;Atomic Physics
André C. R. Martins;3;Physics and Society
D. Obreschkow;1;Fluid Dynamics
P. Kobel;1;Fluid Dynamics
N. Dorsaz;1;Fluid Dynamics
A. de Bosset;1;Fluid Dynamics
C. Nicollier;1;Fluid Dynamics
M. Farhat;1;Fluid Dynamics
Liang Ma;1;Medical Physics
Christophe Jeannin;3;Medical Physics
André Dittmar;3;Medical Physics
Brigitte Grosgogeat;3;Medical Physics
Chao Zhang;4;Optics
Tie Jun Cui;9;Optics
Thierry Leloup;1;Medical Physics
Sylvain Maubleu;1;Medical Physics
