author;n;primary_subject
S. Martinez;1;Data Analysis, Statistics and Probability
F. Nicolas;1;Data Analysis, Statistics and Probability
F. Pennini;1;Data Analysis, Statistics and Probability
A. Plastino;5;Physics and Society
Danny Summers;1;Plasma Physics
Chunyu Ma;1;Plasma Physics
Sebastien Camalet;2;Biological Physics
Thomas Duke;5;Biological Physics
Frank Julicher;15;Biological Physics
Jacques Prost;9;Biological Physics
Holger Faisst;2;Fluid Dynamics
Bruno Eckhardt;32;No primary subject
Pai-Yi Hsiao;2;No primary subject
Martin Devaud;1;Classical Physics
Jean-Claude Bacri;1;Classical Physics
Ya.S. Derbenev;2;Accelerator Physics
V.A. Anferov;1;Accelerator Physics
Jeff Hasty;2;Biological Physics
Joel Pradines;1;Biological Physics
Milos Dolnik;2;Biological Physics
J.J. Collins;1;Biological Physics
H.C. Rosu;19;No primary subject
S. K. Dutta;2;Atomic Physics
D. Feldbaum;3;Atomic Physics
G. Raithel;5;Atomic Physics
Dmitri A. Uzdensky;8;Astrophysics
Russell M. Kulsrud;3;Astrophysics
L. O'C. Drury;1;Astrophysics
J. T. Mendonca;4;No primary subject
Guo Xin Chen;3;Astrophysics
Hong Lin Zhang;5;Astrophysics
Arup Banerjee;8;Atomic and Molecular Clusters
Manoj K. Harbola;5;Atomic and Molecular Clusters
E.V. Tsiper;2;No primary subject
Mario Castro;2;No primary subject
Rodolfo Cuerno;1;Statistical Mechanics
Angel Sanchez;14;No primary subject
Francisco Dominguez-Adame;1;Statistical Mechanics
Niurka R. Quintero;4;Statistical Mechanics
Franz G. Mertens;4;Statistical Mechanics
R. Roth;8;Statistical Mechanics
Kikuo Harigaya;29;Materials Science
J. A. Sanchez-Gil;4;Disordered Systems and Neural Networks
J. V. Garcia-Ramos;2;Disordered Systems and Neural Networks
E. R. Mendez;2;Disordered Systems and Neural Networks
Stefan Bornholdt;4;Physics and Society
Kim Sneppen;7;No primary subject
J. M. Montanero;2;No primary subject
M. K. Hassan;2;Statistical Mechanics
Haijun Zhou;4;Biological Physics
Yang Zhang;1;Soft Condensed Matter
Zhong-can Ou-Yang;2;No primary subject
Alexander Moroz;5;No primary subject
P. Grandclement;1;General Relativity and Quantum Cosmology
S. Bonazzola;1;General Relativity and Quantum Cosmology
E. Gourgoulhon;1;General Relativity and Quantum Cosmology
J.-A. Marck;1;General Relativity and Quantum Cosmology
F. Baldovin;1;General Relativity and Quantum Cosmology
M. Novello;2;General Relativity and Quantum Cosmology
S. E. Perez Bergliaffa;1;General Relativity and Quantum Cosmology
J.M. Salim;1;General Relativity and Quantum Cosmology
S. Hauswirth;1;High Energy Physics - Lattice
Markus H. Thoma;12;High Energy Physics - Phenomenology
Robert Bluhm;1;High Energy Physics - Phenomenology
V. Alan Kostelecky;2;No primary subject
Neil Russell;1;High Energy Physics - Phenomenology
R. Jaganathan;4;Accelerator Physics
Yang Sun;8;No primary subject
Cheng-Li Wu;5;No primary subject
Kumar Bhatt;1;Nuclear Theory
Mike Guidry;4;Superconductivity
Klaus Morawetz;13;No primary subject
Uwe Fuhrmann;1;Nuclear Theory
Vladimir Privman;4;Biological Physics
Dima Mozyrsky;1;Quantum Physics
Toshiki Ide;2;Quantum Physics
Takayoshi Kobayashi;4;Quantum Physics
Akira Furusawa;3;Quantum Physics
A. Berard;3;Classical Physics
H. Mohrbach;3;Classical Physics
P. Gosselin;1;Classical Physics
Tohru Ohnuki;1;Instrumentation and Detectors
Daniel P. Snowden-Ifft;1;Instrumentation and Detectors
C.J. Martoff;6;No primary subject
Lieu;1;Accelerator Physics
Richard;1;Accelerator Physics
y. Grandati;1;Classical Physics
G. Getz;1;Biological Physics
E. Levine;1;Biological Physics
E. Domany;1;Biological Physics
E. Ventura;1;Chemical Physics
A. M. Simas;1;Chemical Physics
D. Bazeia;4;No primary subject
Mari A. Watanabe;1;Biological Physics
Flavio H Fenton;1;Biological Physics
Steven J. Evans;1;Biological Physics
Harold Hastings;1;Biological Physics
Alain Karma;2;Biological Physics
J.H.Field;28;General Physics
Hans Fangohr;2;Computational Physics
Andrew R. Price;1;Computational Physics
Simon J. Cox;1;Computational Physics
Peter A.J. de Groot;1;Computational Physics
Geoffrey J. Daniell;1;Computational Physics
