Id	name	popularity	modularity_class	rol	betweenesscentrality
2pCYP0x4PaOGhuOCHVzTjp	Juan Quin y Dago	40	7	role_3	2222003553
399j7KzhXlNysKZvb55lxd	YOSHI	40	5	role_0	913248599
4Tgw9zWJfriNcFxgZve7sU	Puppy Sierna	40	0	role_7	9368925
5LN3tGphckDuG0irNsiAs0	Raul Ramirez	40	1	role_0	362827306
3L3OkLK1GPNoYh649m3nh7	DJ Saot ST	40	5	role_2	85250877
73ZUVJpRyRACS9qUSGVpWC	FRVNKK	40	7	role_2	378835533
16lcPccJgIjtOWEwVMyA6Z	Tony Lenta	39	5	role_4	3127944348
6U5QPaU2JpWfzInyd2g9zg	El Bordo	39	6	role_2	12153708232
3hWEl2WyfFoVtZeh4GLRwj	PXXR GVNG	39	5	role_5	2755751673
3yRt7RrCEFnIIEgenUFElv	La Tropa Loca	39	3	role_2	1314756687
554Ew2NdutSKKljCiK3s3n	La Reunion Nortena	39	4	role_1	739879299
7f4QZ3v32jtmstrh7VHfJL	Lo' Pibitos	39	1	role_0	14044050913
2by0Tdl2jFXvgXSlPPos8i	El Kid	39	5	role_2	18099866
1Mj0XQhXbzIXfoWTN391N6	Kiddo Toto	39	7	role_3	22563973822
464OBfUFmgwNlOBM3iMXXT	Conjunto Peña Blanca	39	4	role_2	13596617
0CwDMNmupPq7JSl4uxPWV3	La Furia del Bravo	39	4	role_2	7200534
34wPpdJXRno0eRFI5IAOYh	Sandra Mihanovich	39	1	role_2	2159023173
4ZNk4pFFvI85sdgjkFPBjI	La Goony Chonga	39	5	role_0	8073403455
7dHiLDmaaoJ7XwEqWCcIah	BlackRoy	39	0	role_3	23752910082
1eblCqMA3mIIguIKAVd0Cj	Bastiancortesxv	39	2	role_7	2089517
4arvU6IZ9iiulbCZPiO1GB	Pelusa	39	1	role_1	493627172
1ZijgA5CMnToosMd24krUH	DJ Blass	39	5	role_2	590940112
4KXIxHcPgLB1xiPXZHlqxf	BCA	39	5	role_2	12208236
2pm42ahOwMBST1vbdGqRAq	Canto 4	39	1	role_2	33183570181
38PVRkX8RixC7XuDRltJpN	Linyeras cru	39	7	role_2	1653155109
6Ad4wUgOdnilbCYA3lzt9P	Los Bam Band Orquesta	39	1	role_2	4028624474
2WInxWtfee6mRhUQUmIRAH	Strick	39	8	role_1	489441715
6MLsGkmMLs3wFwNRleDyeU	OKY	39	7	role_3	72269225343
08IZfNBMVw2bwFkTRY404C	Lore y Roque Me Gusta	39	7	role_3	7440323298
2bqyNDhVFDuK4wZUrZh6xy	Nissa	39	7	role_4	2835583325
61wjkDrxSXXH1yUOczhJmT	Sergio Torres y Los Dueños Del Swing	39	1	role_1	107889563
0B9wPB6XyIwCXZ3OUkJfCE	DICC	39	5	role_3	959431406
7zrKyjlv5C1kp9eoJwG01J	Molok0	39	7	role_3	333541128
3Vzymy9i8OqVAbiCbAXCWq	Darho	39	5	role_0	2323637166
3LlWsXsjIJmaKmPaB9GIyH	Montano	39	5	role_5	1697060973
7o6GWu8PprO89hxuS9OiPu	Commanche	39	1	role_2	6311616569
1ziRj7e5Tm72Qf2ag6jHed	Pap Chanel	39	8	role_0	0
0phhTEgdg0vxSb5G3dPVsC	Grupo Zenzio	39	4	role_2	4331178571
1VeOsE6gNwoBsIAinCAb3l	Hitmaka	39	8	role_0	14414136
5zKxuayFWVvBS3GkdWF0nD	Florencia Bertotti	39	1	role_5	3796749578
73Lhk4XucX7BDRL82Zngs5	Urba y Rome	39	5	role_4	18144005142
6RnrJJStoEIXOH7OHvcirJ	Lauty Deejay	39	7	role_4	3081029582
1pEqLDmVTqmfwfywlwL7wL	Jotaerre	39	5	role_5	153130131
5HT6hDqzq0B7EFlokN0hK2	George Smeddles	39	9	role_3	362078007
7ya73VVTnzfSHrQnGq9WiC	Marco Acevedo	39	9	role_0	5632814
3L0kwteWrevLGtjvQVYLcl	Brisotti	39	9	role_2	283463777
1f8dPR6raRQ0rwu9vGbdh3	ZALO DJ	39	7	role_4	7536365884
1lapQeH8MRBluX1sSUEgeg	lisandro skar	39	7	role_0	97572552
6oIoaURalGEtkYTswOLoft	Crusy	39	9	role_3	1
1M1s4ofh9rBEBWhyYsXAcn	El Mas Ladron	39	7	role_3	2879623208
3Zan5Poez2lZsuz9xXJfvn	Yabel	39	0	role_5	493622462
106AY5X04l0ryapTvaOqfe	Casi Creativo	38	2	role_2	91994509
6m0MLa2Q5RwIF8R7nwQkQ2	Yung Mal	38	8	role_0	235989753
5RVuxgqu3esPo4LIrf4HUs	Jay Menez	38	5	role_3	42848894824
3YvJLKikEKjbzNBk9rfIKE	Sailorfag	38	5	role_0	441305823
1IF5pf9iB2D66RVVbuFSGP	Mozthaza	38	7	role_3	1485384043
2kRyLphTQyz7eaHhfLpMVl	Los Cantores del Alba	38	1	role_2	4015290594
4JathQD0aoyE5WwaIB2JxC	Salta La Banca	38	6	role_2	18039042721
6DW1NmhrCCFdZbao86wchK	Conjunto Azabache	38	4	role_2	319571441
0MNbjdRcXpvAwnXgWd1Im1	Las Guanabanas	38	5	role_2	268997177
0d1jlQUtg6wJtmOVWSFU0t	Cumbre Norteña	38	4	role_1	338867257
4OeXcGvSUYN3eMgy73WBtd	Karicia	38	1	role_1	548551427
7pTTcZQa4DzCKdoyuiPfsq	Rebeca Lane	38	1	role_0	25114017
4O1lKl5yU8I0laT5XnVZjB	Santamarta	38	1	role_1	3900769633
3iotzjiikaWCmct3ibFbZk	Too Yugan	38	7	role_4	113167988
0vOORe7cIa49Egvl6QUVt7	La Groupera	38	1	role_1	5933361475
4gQOceTfcyC3AQHUE2gmVt	Sergio Galleguillo	38	1	role_1	1826509861
0qGRkfnUqWeG49vbCv6rMY	Chango Spasiuk	38	1	role_2	14173621174
0gMAKyA5gWUJiVU5S082KT	Japanese	38	5	role_2	12924962
643YpbScVr0u07i276NRiP	Los Chakales	38	1	role_1	447810703
2Y6AtL4xQFvg8nroRM3ZV6	ODD MAMI	38	7	role_5	3693555809
4UwR1ir6PovnQiwX5jRPvF	Anti Up	38	9	role_0	24127613
06qV3sqzafoEDLWWPOmHO3	El Indio Lucio Rojas	38	1	role_1	984580312
137pHEZ9U76r4ouXTa6Bjc	Chanchi y Los Autenticos	38	1	role_2	3015142
4fARNbsdisPYTZtwYzAayh	Simplemente Naguel	38	1	role_4	200123257
7MLo24EMMZaRATfZKpLS2i	César "Banana" Pueyrredón	38	1	role_4	492252259
4mG70wQ5qWBs9GogyP7WuM	La contrà	38	1	role_2	109932937
3Da9oMHorNECMUqxi2g80Y	DJ Roman	38	7	role_2	61950604
0mUKZR7k8cOSewS6faryVf	Veeyam	38	7	role_2	4282569
0vMv24BXeZOK8l3S5SMLri	CashMoneyAP	38	8	role_3	7397868
29rvPhemBdOLYdLr2xI8dr	Six Sex	38	5	role_0	3395836057
5NpCde9H57MxIZqbmfkElY	Dejota2021	38	5	role_0	38319469
03ojdQidPtScdEq8KU2V9K	Lex Luger	38	8	role_3	6609597
64CJy4LTJjFj7lcDxTECn2	FABRO	38	7	role_3	139721371951
23mC5tLCbMk9zqrR2dFtNE	Mati Gómez	38	5	role_4	125779921875
192E8ptSuYPT0rgJRyImNH	Jorgito Barrionuevo	38	7	role_3	4099654079
3BhLm0rzP3kwnkLj7yXAaI	Chuchu Retro	38	0	role_1	6552046089
4k2i4lShsNm6Ebsb5sg8kR	Germanini	38	0	role_3	4188324368
