id;name;popularity;followers;d
3vQ0GE3mI0dAaxIMYe5g7z;Paulo Londra;74;22200143;1
5XJDexmWFLWOkjOEjOVX3e;Eladio Carrion;84;6106969;1
2p4aN0Uxkk3iT3HK0cJ2cJ;Tokischa;70;881100;1
0GM7qgcRCORpGnfcN2tCiB;Tainy;78;1965737;1
4F4pp8NUW08JuXwnoxglpN;Bad Gyal;75;1441634;1
0Q8NcsJwoCbZOHHW63su5S;Mora;83;4108063;1
6nVcHLIgY5pE2YCl8ubca1;Jhayco;81;7288483;1
7j6DKwmjbxvpQO8h914uEz;Ryan Castro;78;2206056;1
5J7rXWjtn5HzUkJ4Jet8Fr;Alvaro Diaz;71;544101;1
4aSlfXDn9R60UlbZEboBUy;YOVNGCHIMI;74;663843;1
2YRyPiW98bpkARAS4B3OQP;Dei V;76;459976;1
51XrH5fQP2oIQynuKxSWcW;Sky Rompiendo;70;134272;1
1pi7nGhOM7PTHR5YEgXVGq;Villano Antillano;59;180126;1
1mcTU81TzQhprhouKaTkpq;Rauw Alejandro;87;20477630;1
1bqz6MNvjWHhtP8Lvilwoi;MEDINAS;44;62398;1
7gVtLMiNJYZuvnG9yEaWFS;El Rossani;36;15849;1
5RopQXy9tobYADC0GZyLVb;elaggume;52;15545;1
69ElvGSkRPaoxWFPLqfUac;LT Promise;29;13102;1
5KQX0Ui06LVm6PApyicRFK;Rombai;62;1302203;1
2wkoKEfS6dXwThbyTnZWFU;Mau y Ricky;68;6718495;1
1TA5sGRlKUJXBN4ZyJuDIX;Blessd;76;3298118;1
2O8vbr4RYPpk6MRA4fio7u;Saiko;77;605585;1
4SsVbpTthjScTS7U2hmr1X;Arcángel;83;13150653;1
77ziqFxp5gaInVrF2lj4ht;Sech;78;11785789;1
2IMZYfNi21MGqxopj9fWx8;Rels B;81;6426190;1
2cPqdH7XMvwaBJEVjheH8g;Jay Wheeler;76;3814084;1
14zUHaJZo1mnYtn6IBRaRP;Justin Quiles;76;4348621;1
2R21vXR83lH98kGeO99Y66;Anuel AA;86;34174913;1
4MDGtU9Iz3Suf6YeidG2Y4;DY Krazy;25;3493;1
5Rtdt9VRU1leFt5fS2q0v1;808 MAFIA;27;8909;1
